case_id,reference_path,distorted_path,distortion_type,width,height,channels,mse_standard,psnr_db,ssim,elapsed_ms,status,error
image_0003_jpeg_quality_50,../reference/FY4B-_AGRI--_N_DISK_1050E_L2-_GCLR_MULT_NOM_20260719220000_20260719221459_1000M_V0001.png,../distorted/FY4B-_AGRI--_N_DISK_1050E_L2-_GCLR_MULT_NOM_20260719220000_20260719221459_1000M_V0001/jpeg_quality_50.jpg,jpeg_quality_50,2048,2048,3,9.332024,38.431045,0.973939,158.618791,ok,
image_0003_jpeg_quality_20,../reference/FY4B-_AGRI--_N_DISK_1050E_L2-_GCLR_MULT_NOM_20260719220000_20260719221459_1000M_V0001.png,../distorted/FY4B-_AGRI--_N_DISK_1050E_L2-_GCLR_MULT_NOM_20260719220000_20260719221459_1000M_V0001/jpeg_quality_20.jpg,jpeg_quality_20,2048,2048,3,18.116649,35.550025,0.934577,150.854334,ok,
image_0004_noise_sigma_5,../reference/FY4B-_AGRI--_N_DISK_1050E_L2-_GCLR_MULT_NOM_20260719221500_20260719222959_1000M_V0001.png,../distorted/FY4B-_AGRI--_N_DISK_1050E_L2-_GCLR_MULT_NOM_20260719221500_20260719222959_1000M_V0001/noise_sigma_5.png,gaussian_noise_sigma_5,2048,2048,3,21.957682,34.714939,0.894137,194.428375,ok,
image_0004_noise_sigma_15,../reference/FY4B-_AGRI--_N_DISK_1050E_L2-_GCLR_MULT_NOM_20260719221500_20260719222959_1000M_V0001.png,../distorted/FY4B-_AGRI--_N_DISK_1050E_L2-_GCLR_MULT_NOM_20260719221500_20260719222959_1000M_V0001/noise_sigma_15.png,gaussian_noise_sigma_15,2048,2048,3,171.248031,25.794548,0.529053,194.908500,ok,
image_0004_noise_sigma_30,../reference/FY4B-_AGRI--_N_DISK_1050E_L2-_GCLR_MULT_NOM_20260719221500_20260719222959_1000M_V0001.png,../distorted/FY4B-_AGRI--_N_DISK_1050E_L2-_GCLR_MULT_NOM_20260719221500_20260719222959_1000M_V0001/noise_sigma_30.png,gaussian_noise_sigma_30,2048,2048,3,620.271401,20.204986,0.238594,181.186208,ok,
image_0004_blur_k03_s0p8,../reference/FY4B-_AGRI--_N_DISK_1050E_L2-_GCLR_MULT_NOM_20260719221500_20260719222959_1000M_V0001.png,../distorted/FY4B-_AGRI--_N_DISK_1050E_L2-_GCLR_MULT_NOM_20260719221500_20260719222959_1000M_V0001/blur_k03_s0p8.png,gaussian_blur_k3_sigma_0.800000,2048,2048,3,8.088722,39.052004,0.984331,182.313916,ok,
image_0004_blur_k07_s1p5,../reference/FY4B-_AGRI--_N_DISK_1050E_L2-_GCLR_MULT_NOM_20260719221500_20260719222959_1000M_V0001.png,../distorted/FY4B-_AGRI--_N_DISK_1050E_L2-_GCLR_MULT_NOM_20260719221500_20260719222959_1000M_V0001/blur_k07_s1p5.png,gaussian_blur_k7_sigma_1.500000,2048,2048,3,16.474093,35.962789,0.966430,168.659750,ok,
image_0004_blur_k11_s3p0,../reference/FY4B-_AGRI--_N_DISK_1050E_L2-_GCLR_MULT_NOM_20260719221500_20260719222959_1000M_V0001.png,../distorted/FY4B-_AGRI--_N_DISK_1050E_L2-_GCLR_MULT_NOM_20260719221500_20260719222959_1000M_V0001/blur_k11_s3p0.png,gaussian_blur_k11_sigma_3.000000,2048,2048,3,27.556931,33.728495,0.944459,167.550291,ok,
image_0004_jpeg_quality_80,../reference/FY4B-_AGRI--_N_DISK_1050E_L2-_GCLR_MULT_NOM_20260719221500_20260719222959_1000M_V0001.png,../distorted/FY4B-_AGRI--_N_DISK_1050E_L2-_GCLR_MULT_NOM_20260719221500_20260719222959_1000M_V0001/jpeg_quality_80.jpg,jpeg_quality_80,2048,2048,3,3.082727,43.241452,0.988554,159.160334,ok,
image_0004_jpeg_quality_50,../reference/FY4B-_AGRI--_N_DISK_1050E_L2-_GCLR_MULT_NOM_20260719221500_20260719222959_1000M_V0001.png,../distorted/FY4B-_AGRI--_N_DISK_1050E_L2-_GCLR_MULT_NOM_20260719221500_20260719222959_1000M_V0001/jpeg_quality_50.jpg,jpeg_quality_50,2048,2048,3,9.409001,38.395369,0.973773,157.996875,ok,
image_0004_jpeg_quality_20,../reference/FY4B-_AGRI--_N_DISK_1050E_L2-_GCLR_MULT_NOM_20260719221500_20260719222959_1000M_V0001.png,../distorted/FY4B-_AGRI--_N_DISK_1050E_L2-_GCLR_MULT_NOM_20260719221500_20260719222959_1000M_V0001/jpeg_quality_20.jpg,jpeg_quality_20,2048,2048,3,18.238453,35.520924,0.934366,146.748542,ok,
image_0005_noise_sigma_5,../reference/FY4B-_AGRI--_N_DISK_1050E_L2-_GCLR_MULT_NOM_20260719223000_20260719224459_1000M_V0001.png,../distorted/FY4B-_AGRI--_N_DISK_1050E_L2-_GCLR_MULT_NOM_20260719223000_20260719224459_1000M_V0001/noise_sigma_5.png,gaussian_noise_sigma_5,2048,2048,3,21.951805,34.716101,0.894060,181.808250,ok,
image_0005_noise_sigma_15,../reference/FY4B-_AGRI--_N_DISK_1050E_L2-_GCLR_MULT_NOM_20260719223000_20260719224459_1000M_V0001.png,../distorted/FY4B-_AGRI--_N_DISK_1050E_L2-_GCLR_MULT_NOM_20260719223000_20260719224459_1000M_V0001/noise_sigma_15.png,gaussian_noise_sigma_15,2048,2048,3,171.364770,25.791588,0.529013,188.200542,ok,
image_0005_noise_sigma_30,../reference/FY4B-_AGRI--_N_DISK_1050E_L2-_GCLR_MULT_NOM_20260719223000_20260719224459_1000M_V0001.png,../distorted/FY4B-_AGRI--_N_DISK_1050E_L2-_GCLR_MULT_NOM_20260719223000_20260719224459_1000M_V0001/noise_sigma_30.png,gaussian_noise_sigma_30,2048,2048,3,620.505089,20.203350,0.238392,188.001458,ok,
image_0005_blur_k03_s0p8,../reference/FY4B-_AGRI--_N_DISK_1050E_L2-_GCLR_MULT_NOM_20260719223000_20260719224459_1000M_V0001.png,../distorted/FY4B-_AGRI--_N_DISK_1050E_L2-_GCLR_MULT_NOM_20260719223000_20260719224459_1000M_V0001/blur_k03_s0p8.png,gaussian_blur_k3_sigma_0.800000,2048,2048,3,8.082592,39.055297,0.984333,172.235459,ok,
image_0005_blur_k07_s1p5,../reference/FY4B-_AGRI--_N_DISK_1050E_L2-_GCLR_MULT_NOM_20260719223000_20260719224459_1000M_V0001.png,../distorted/FY4B-_AGRI--_N_DISK_1050E_L2-_GCLR_MULT_NOM_20260719223000_20260719224459_1000M_V0001/blur_k07_s1p5.png,gaussian_blur_k7_sigma_1.500000,2048,2048,3,16.485110,35.959885,0.966346,182.366667,ok,
image_0005_blur_k11_s3p0,../reference/FY4B-_AGRI--_N_DISK_1050E_L2-_GCLR_MULT_NOM_20260719223000_20260719224459_1000M_V0001.png,../distorted/FY4B-_AGRI--_N_DISK_1050E_L2-_GCLR_MULT_NOM_20260719223000_20260719224459_1000M_V0001/blur_k11_s3p0.png,gaussian_blur_k11_sigma_3.000000,2048,2048,3,27.653937,33.713234,0.944161,177.656042,ok,
image_0005_jpeg_quality_80,../reference/FY4B-_AGRI--_N_DISK_1050E_L2-_GCLR_MULT_NOM_20260719223000_20260719224459_1000M_V0001.png,../distorted/FY4B-_AGRI--_N_DISK_1050E_L2-_GCLR_MULT_NOM_20260719223000_20260719224459_1000M_V0001/jpeg_quality_80.jpg,jpeg_quality_80,2048,2048,3,3.082357,43.241974,0.988550,148.270458,ok,
image_0005_jpeg_quality_50,../reference/FY4B-_AGRI--_N_DISK_1050E_L2-_GCLR_MULT_NOM_20260719223000_20260719224459_1000M_V0001.png,../distorted/FY4B-_AGRI--_N_DISK_1050E_L2-_GCLR_MULT_NOM_20260719223000_20260719224459_1000M_V0001/jpeg_quality_50.jpg,jpeg_quality_50,2048,2048,3,9.386520,38.405758,0.973808,147.588333,ok,
image_0005_jpeg_quality_20,../reference/FY4B-_AGRI--_N_DISK_1050E_L2-_GCLR_MULT_NOM_20260719223000_20260719224459_1000M_V0001.png,../distorted/FY4B-_AGRI--_N_DISK_1050E_L2-_GCLR_MULT_NOM_20260719223000_20260719224459_1000M_V0001/jpeg_quality_20.jpg,jpeg_quality_20,2048,2048,3,18.226069,35.523874,0.934402,161.601833,ok,
image_0006_noise_sigma_5,../reference/FY4B-_AGRI--_N_DISK_1050E_L2-_GCLR_MULT_NOM_20260719224500_20260719225959_1000M_V0001.png,../distorted/FY4B-_AGRI--_N_DISK_1050E_L2-_GCLR_MULT_NOM_20260719224500_20260719225959_1000M_V0001/noise_sigma_5.png,gaussian_noise_sigma_5,2048,2048,3,21.951390,34.716183,0.894057,188.525083,ok,
image_0006_noise_sigma_15,../reference/FY4B-_AGRI--_N_DISK_1050E_L2-_GCLR_MULT_NOM_20260719224500_20260719225959_1000M_V0001.png,../distorted/FY4B-_AGRI--_N_DISK_1050E_L2-_GCLR_MULT_NOM_20260719224500_20260719225959_1000M_V0001/noise_sigma_15.png,gaussian_noise_sigma_15,2048,2048,3,171.282718,25.793668,0.528655,195.763167,ok,
image_0006_noise_sigma_30,../reference/FY4B-_AGRI--_N_DISK_1050E_L2-_GCLR_MULT_NOM_20260719224500_20260719225959_1000M_V0001.png,../distorted/FY4B-_AGRI--_N_DISK_1050E_L2-_GCLR_MULT_NOM_20260719224500_20260719225959_1000M_V0001/noise_sigma_30.png,gaussian_noise_sigma_30,2048,2048,3,620.036704,20.206630,0.238107,184.429500,ok,
image_0006_blur_k03_s0p8,../reference/FY4B-_AGRI--_N_DISK_1050E_L2-_GCLR_MULT_NOM_20260719224500_20260719225959_1000M_V0001.png,../distorted/FY4B-_AGRI--_N_DISK_1050E_L2-_GCLR_MULT_NOM_20260719224500_20260719225959_1000M_V0001/blur_k03_s0p8.png,gaussian_blur_k3_sigma_0.800000,2048,2048,3,8.137725,39.025773,0.984152,184.468500,ok,
image_0006_blur_k07_s1p5,../reference/FY4B-_AGRI--_N_DISK_1050E_L2-_GCLR_MULT_NOM_20260719224500_20260719225959_1000M_V0001.png,../distorted/FY4B-_AGRI--_N_DISK_1050E_L2-_GCLR_MULT_NOM_20260719224500_20260719225959_1000M_V0001/blur_k07_s1p5.png,gaussian_blur_k7_sigma_1.500000,2048,2048,3,16.587772,35.932923,0.966006,179.962792,ok,
image_0006_blur_k11_s3p0,../reference/FY4B-_AGRI--_N_DISK_1050E_L2-_GCLR_MULT_NOM_20260719224500_20260719225959_1000M_V0001.png,../distorted/FY4B-_AGRI--_N_DISK_1050E_L2-_GCLR_MULT_NOM_20260719224500_20260719225959_1000M_V0001/blur_k11_s3p0.png,gaussian_blur_k11_sigma_3.000000,2048,2048,3,27.713892,33.703828,0.943810,177.712000,ok,
image_0006_jpeg_quality_80,../reference/FY4B-_AGRI--_N_DISK_1050E_L2-_GCLR_MULT_NOM_20260719224500_20260719225959_1000M_V0001.png,../distorted/FY4B-_AGRI--_N_DISK_1050E_L2-_GCLR_MULT_NOM_20260719224500_20260719225959_1000M_V0001/jpeg_quality_80.jpg,jpeg_quality_80,2048,2048,3,3.120150,43.189049,0.988436,151.948125,ok,
image_0006_jpeg_quality_50,../reference/FY4B-_AGRI--_N_DISK_1050E_L2-_GCLR_MULT_NOM_20260719224500_20260719225959_1000M_V0001.png,../distorted/FY4B-_AGRI--_N_DISK_1050E_L2-_GCLR_MULT_NOM_20260719224500_20260719225959_1000M_V0001/jpeg_quality_50.jpg,jpeg_quality_50,2048,2048,3,9.445329,38.378633,0.973628,152.878541,ok,
image_0006_jpeg_quality_20,../reference/FY4B-_AGRI--_N_DISK_1050E_L2-_GCLR_MULT_NOM_20260719224500_20260719225959_1000M_V0001.png,../distorted/FY4B-_AGRI--_N_DISK_1050E_L2-_GCLR_MULT_NOM_20260719224500_20260719225959_1000M_V0001/jpeg_quality_20.jpg,jpeg_quality_20,2048,2048,3,18.468112,35.466579,0.933993,149.211042,ok,
image_0007_noise_sigma_5,../reference/FY4B-_AGRI--_N_DISK_1050E_L2-_GCLR_MULT_NOM_20260719230000_20260719231459_1000M_V0001.png,../distorted/FY4B-_AGRI--_N_DISK_1050E_L2-_GCLR_MULT_NOM_20260719230000_20260719231459_1000M_V0001/noise_sigma_5.png,gaussian_noise_sigma_5,2048,2048,3,22.310014,34.645805,0.893654,201.178458,ok,
image_0007_noise_sigma_15,../reference/FY4B-_AGRI--_N_DISK_1050E_L2-_GCLR_MULT_NOM_20260719230000_20260719231459_1000M_V0001.png,../distorted/FY4B-_AGRI--_N_DISK_1050E_L2-_GCLR_MULT_NOM_20260719230000_20260719231459_1000M_V0001/noise_sigma_15.png,gaussian_noise_sigma_15,2048,2048,3,175.226757,25.694799,0.529400,186.509667,ok,
image_0007_noise_sigma_30,../reference/FY4B-_AGRI--_N_DISK_1050E_L2-_GCLR_MULT_NOM_20260719230000_20260719231459_1000M_V0001.png,../distorted/FY4B-_AGRI--_N_DISK_1050E_L2-_GCLR_MULT_NOM_20260719230000_20260719231459_1000M_V0001/noise_sigma_30.png,gaussian_noise_sigma_30,2048,2048,3,630.186065,20.136116,0.242204,200.790833,ok,
image_0007_blur_k03_s0p8,../reference/FY4B-_AGRI--_N_DISK_1050E_L2-_GCLR_MULT_NOM_20260719230000_20260719231459_1000M_V0001.png,../distorted/FY4B-_AGRI--_N_DISK_1050E_L2-_GCLR_MULT_NOM_20260719230000_20260719231459_1000M_V0001/blur_k03_s0p8.png,gaussian_blur_k3_sigma_0.800000,2048,2048,3,7.649660,39.294382,0.983791,181.110417,ok,
image_0007_blur_k07_s1p5,../reference/FY4B-_AGRI--_N_DISK_1050E_L2-_GCLR_MULT_NOM_20260719230000_20260719231459_1000M_V0001.png,../distorted/FY4B-_AGRI--_N_DISK_1050E_L2-_GCLR_MULT_NOM_20260719230000_20260719231459_1000M_V0001/blur_k07_s1p5.png,gaussian_blur_k7_sigma_1.500000,2048,2048,3,16.408208,35.980192,0.962669,245.815458,ok,
image_0007_blur_k11_s3p0,../reference/FY4B-_AGRI--_N_DISK_1050E_L2-_GCLR_MULT_NOM_20260719230000_20260719231459_1000M_V0001.png,../distorted/FY4B-_AGRI--_N_DISK_1050E_L2-_GCLR_MULT_NOM_20260719230000_20260719231459_1000M_V0001/blur_k11_s3p0.png,gaussian_blur_k11_sigma_3.000000,2048,2048,3,28.570330,33.571651,0.936777,198.090667,ok,
image_0007_jpeg_quality_80,../reference/FY4B-_AGRI--_N_DISK_1050E_L2-_GCLR_MULT_NOM_20260719230000_20260719231459_1000M_V0001.png,../distorted/FY4B-_AGRI--_N_DISK_1050E_L2-_GCLR_MULT_NOM_20260719230000_20260719231459_1000M_V0001/jpeg_quality_80.jpg,jpeg_quality_80,2048,2048,3,3.273099,42.981212,0.987677,169.295500,ok,
image_0007_jpeg_quality_50,../reference/FY4B-_AGRI--_N_DISK_1050E_L2-_GCLR_MULT_NOM_20260719230000_20260719231459_1000M_V0001.png,../distorted/FY4B-_AGRI--_N_DISK_1050E_L2-_GCLR_MULT_NOM_20260719230000_20260719231459_1000M_V0001/jpeg_quality_50.jpg,jpeg_quality_50,2048,2048,3,9.522268,38.343400,0.971716,160.182750,ok,
image_0007_jpeg_quality_20,../reference/FY4B-_AGRI--_N_DISK_1050E_L2-_GCLR_MULT_NOM_20260719230000_20260719231459_1000M_V0001.png,../distorted/FY4B-_AGRI--_N_DISK_1050E_L2-_GCLR_MULT_NOM_20260719230000_20260719231459_1000M_V0001/jpeg_quality_20.jpg,jpeg_quality_20,2048,2048,3,19.264401,35.283249,0.931974,162.040541,ok,
image_0008_noise_sigma_5,../reference/FY4B-_AGRI--_N_DISK_1050E_L2-_GCLR_MULT_NOM_20260719231500_20260719232959_1000M_V0001.png,../distorted/FY4B-_AGRI--_N_DISK_1050E_L2-_GCLR_MULT_NOM_20260719231500_20260719232959_1000M_V0001/noise_sigma_5.png,gaussian_noise_sigma_5,2048,2048,3,23.227327,34.470811,0.896786,340.534417,ok,
image_0008_noise_sigma_15,../reference/FY4B-_AGRI--_N_DISK_1050E_L2-_GCLR_MULT_NOM_20260719231500_20260719232959_1000M_V0001.png,../distorted/FY4B-_AGRI--_N_DISK_1050E_L2-_GCLR_MULT_NOM_20260719231500_20260719232959_1000M_V0001/noise_sigma_15.png,gaussian_noise_sigma_15,2048,2048,3,186.908790,25.414506,0.544195,248.302791,ok,
